Record ID#,Spacecraft Name,Similarity %,GS Spacecraft,Date,Vehicle Name,Launch Site,Remark,Country,Market Segment,Operator,Prime Manufacturer,Equipment,Configuration,Propulsion,Power,Design Life,Mass,Cospar
18,Flock-4y 1,90.0,Flock-4y 16 (Dove 24C9),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AH
18,Flock-4y 1,90.0,Flock-4y 17 (Dove 24C2),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001Y
18,Flock-4y 1,90.0,Flock-4y 18 (Dove 24CE),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001Q
18,Flock-4y 1,90.0,Flock-4y 19 (Dove 24A9),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001T
29,Flock-4y 2,90.0,Flock-4y 20 (Dove 24CA),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BG
29,Flock-4y 2,90.0,Flock-4y 21 (Dove 24BA),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BW
29,Flock-4y 2,90.0,Flock-4y 22 (Dove 24C1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001P
29,Flock-4y 2,90.0,Flock-4y 23 (Dove 24BC),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BZ
29,Flock-4y 2,90.0,Flock-4y 24 (Dove 24B9),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001M
29,Flock-4y 2,90.0,Flock-4y 25 (Dove 24B2),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001U
29,Flock-4y 2,90.0,Flock-4y 26 (Dove 24C4),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BP
29,Flock-4y 2,90.0,Flock-4y 27 (Dove 24C8),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001CC
29,Flock-4y 2,90.0,Flock-4y 28 (Dove 24B1),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AA
29,Flock-4y 2,90.0,Flock-4y 29 (Dove 24BB),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001X
40,Flock-4y 3,90.0,Flock-4y 30 (Dove 24C0),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001S
40,Flock-4y 3,90.0,Flock-4y 31 (Dove 24BE),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BX
40,Flock-4y 3,90.0,Flock-4y 32 (Dove 24B6),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001N
40,Flock-4y 3,90.0,Flock-4y 33 (Dove 24BF),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001AK
40,Flock-4y 3,90.0,Flock-4y 34 (Dove 24CC),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001CB
40,Flock-4y 3,90.0,Flock-4y 35 (Dove 24C5),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BA
40,Flock-4y 3,90.0,Flock-4y 36 (Dove 24D0),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Technology,Planet Labs,Planet Labs,"PS0, PS1 or PS2 imaging payload",CubeSat (3U),None (most); FEEP (#Flock-3p'),"Solar cells, batteries",~ 1 year (ISS orbit); 2-3 years (SSO),5 kg,2023-001BU
69,Lemur-2 157,90.0,Lemur-2 157 (Lemur-2 Disclaimer),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001F
70,Lemur-2 158,90.0,Lemur-2 158 (Lemur-2 Emmaculate),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001AE
71,Lemur-2 159,90.0,Lemur-2 159 (Lemur-2 FuenteTaja-01),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001CH
72,Lemur-2 160,90.0,Lemur-2 160 (Lemur-2 MMolo),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001AF
73,Lemur-2 161,90.0,Lemur-2 161 (Lemur-2 PhilAri),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001E
74,Lemur-2 162,90.0,Lemur-2 162 (Lemur-2 SteveAlbers),01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,"Earth observation, traffic monitoring",Spire,Spire,"STRATOS (GPS radio occultation payload), SENSE (AIS-receiver), AirSafe (ASD-B payload, #78 and later)",CubeSat (3U),None,"Solar cells, batteries",,4 kg,2023-001J
120,SpaceBEE 167,92.0,SpaceBEE 156,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CU
120,SpaceBEE 167,92.0,SpaceBEE 157,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CX
111,SpaceBEE 158_x000D_,90.0,SpaceBEE 158,01/03/2023,Falcon-9 v1.2 (Block 5),CC SLC-40,,USA,Communication M2M/IoT,Swarm Technologies,Swarm Technologies,,CubeSat (0.25U),None,"Solar cells, batteries",,0.25 kg,2023-001CV
